 k      Z(m)     p(hPa)    T(K)   THETA(K) 
   1    0.125    985.3    287.34    288.56
   2    0.375    956.3    285.71    289.38
   3    0.625    928.1    284.09    290.21
   4    0.875    900.5    282.46    291.04
   5    1.125    873.6    280.84    291.89
   6    1.375    847.4    279.21    292.74
   7    1.625    821.8    277.59    293.59
   8    1.875    796.8    275.96    294.46
   9    2.125    772.5    274.34    295.33
  10    2.375    748.7    272.71    296.21
  11    2.625    725.6    271.09    297.10
  12    2.875    703.0    269.46    298.00
  13    3.125    681.0    267.84    298.90
  14    3.375    659.6    266.21    299.81
  15    3.625    638.7    264.59    300.74
  16    3.875    618.3    262.96    301.67
  17    4.125    598.5    261.34    302.60
  18    4.375    579.2    259.71    303.55
  19    4.625    560.4    258.09    304.51
  20    4.875    542.1    256.46    305.47
  21    5.125    524.3    254.84    306.45
  22    5.375    507.0    253.21    307.43
  23    5.625    490.1    251.59    308.42
  24    5.875    473.7    249.96    309.43
  25    6.125    457.7    248.34    310.44
  26    6.375    442.2    246.71    311.46
  27    6.625    427.1    245.09    312.50
  28    6.875    412.4    243.46    313.54
  29    7.125    398.2    241.84    314.59
  30    7.375    384.3    240.21    315.66
  31    7.625    370.8    238.59    316.73
  32    7.875    357.8    236.96    317.82
  33    8.125    345.1    235.34    318.92
  34    8.375    332.7    233.71    320.03
  35    8.625    320.7    232.09    321.15
  36    8.875    309.1    230.46    322.28
  37    9.125    297.8    228.84    323.43
  38    9.375    286.9    227.21    324.58
  39    9.625    276.3    225.59    325.75
  40    9.875    266.0    223.96    326.94
  41   10.125    256.0    222.34    328.13
  42   10.375    246.3    220.71    329.34
  43   10.625    236.9    219.09    330.56
  44   10.875    227.8    217.46    331.80
  45   11.125    219.0    217.46    335.54
  46   11.375    210.6    217.46    339.32
  47   11.625    202.5    217.46    343.15
  48   11.875    194.7    217.46    347.02
  49   12.125    187.2    217.46    350.94
  50   12.375    180.0    217.46    354.90
  51   12.625    173.1    217.46    358.90
  52   12.875    166.4    217.46    362.95
  53   13.125    160.0    217.46    367.04
  54   13.375    153.8    217.46    371.18
  55   13.625    147.9    217.46    375.37
  56   13.875    142.2    217.46    379.60
  57   14.125    136.7    217.46    383.89
  58   14.375    131.5    217.46    388.22
  59   14.625    126.4    217.46    392.59
  60   14.875    121.5    217.46    397.02
  61   15.125    116.9    217.46    401.50
  62   15.375    112.4    217.46    406.03
  63   15.625    108.0    217.46    410.61
  64   15.875    103.9    217.46    415.24
