    Z(km)      T(K)     p(hPa)    e(hPa)     qvap (g/kg) 
   1    125.0    287.34    985.3    7.1645      4.5561
   2    375.0    285.71    956.3    6.5258      4.2735
   3    625.0    284.09    928.1    5.9377      4.0050
   4    875.0    282.46    900.5    5.3967      3.7500
   5   1125.0    280.84    873.6    4.8996      3.5081
   6   1375.0    279.21    847.4    4.4433      3.2787
   7   1625.0    277.59    821.8    4.0249      3.0614
   8   1875.0    275.96    796.8    3.6416      2.8557
   9   2125.0    274.34    772.5    3.2909      2.6612
  10   2375.0    272.71    748.7    2.9705      2.4775
  11   2625.0    271.09    725.6    2.6779      2.3041
  12   2875.0    269.46    703.0    2.4111      2.1406
  13   3125.0    267.84    681.0    2.1681      1.9866
  14   3375.0    266.21    659.6    1.9471      1.8417
  15   3625.0    264.59    638.7    1.7464      1.7054
  16   3875.0    262.96    618.3    1.5642      1.5774
  17   4125.0    261.34    598.5    1.3991      1.4574
  18   4375.0    259.71    579.2    1.2497      1.3449
  19   4625.0    258.09    560.4    1.1146      1.2396
  20   4875.0    256.46    542.1    0.9927      1.1411
  21   5125.0    254.84    524.3    0.8829      1.0491
  22   5375.0    253.21    507.0    0.7840      0.9633
  23   5625.0    251.59    490.1    0.6951      0.8834
  24   5875.0    249.96    473.7    0.6153      0.8090
  25   6125.0    248.34    457.7    0.5438      0.7399
  26   6375.0    246.71    442.2    0.4799      0.6757
  27   6625.0    245.09    427.1    0.4227      0.6162
  28   6875.0    243.46    412.4    0.3718      0.5612
  29   7125.0    241.84    398.2    0.3264      0.5103
  30   7375.0    240.21    384.3    0.2860      0.4633
  31   7625.0    238.59    370.8    0.2502      0.4200
  32   7875.0    236.96    357.8    0.2185      0.3801
  33   8125.0    235.34    345.1    0.1904      0.3435
  34   8375.0    233.71    332.7    0.1657      0.3099
  35   8625.0    232.09    320.7    0.1438      0.2791
  36   8875.0    230.46    309.1    0.1246      0.2509
  37   9125.0    228.84    297.8    0.1078      0.2252
  38   9375.0    227.21    286.9    0.0930      0.2017
  39   9625.0    225.59    276.3    0.0801      0.1803
  40   9875.0    223.96    266.0    0.0688      0.1610
  41  10125.0    222.34    256.0    0.0590      0.1434
  42  10375.0    220.71    246.3    0.0505      0.1275
  43  10625.0    219.09    236.9    0.0431      0.1131
  44  10875.0    217.46    227.8    0.0367      0.1001
  45  11125.0    217.46    219.0    0.0367      0.1041
  46  11375.0    217.46    210.6    0.0367      0.1083
  47  11625.0    217.46    202.5    0.0367      0.1126
  48  11875.0    217.46    194.7    0.0367      0.1171
  49  12125.0    217.46    187.2    0.0367      0.1218
  50  12375.0    217.46    180.0    0.0367      0.1267
  51  12625.0    217.46    173.1    0.0367      0.1318
  52  12875.0    217.46    166.4    0.0367      0.1371
  53  13125.0    217.46    160.0    0.0367      0.1426
  54  13375.0    217.46    153.8    0.0367      0.1483
  55  13625.0    217.46    147.9    0.0367      0.1542
  56  13875.0    217.46    142.2    0.0367      0.1604
  57  14125.0    217.46    136.7    0.0367      0.1668
  58  14375.0    217.46    131.5    0.0367      0.1735
  59  14625.0    217.46    126.4    0.0367      0.1805
  60  14875.0    217.46    121.5    0.0367      0.1877
  61  15125.0    217.46    116.9    0.0367      0.1952
  62  15375.0    217.46    112.4    0.0367      0.2030
  63  15625.0    217.46    108.0    0.0367      0.2112
  64  15875.0    217.46    103.9    0.0367      0.2196
