72240 LCH Lake Charles Observations at 00Z 01 Jun 2007
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1015.0     10   26.8   20.8     70  15.49    130      8  298.7  344.0  301.4
 1000.0    132   25.2   20.2     74  15.14    130     10  298.4  342.6  301.1
  953.0    554   21.4   18.6     84  14.36    120     10  298.6  340.6  301.2
  934.0    729   20.6   16.3     76  12.64    116     10  299.5  336.7  301.8
  925.0    813   19.8   16.2     80  12.68    114     10  299.6  336.8  301.8
  877.0   1271   16.4   15.6     95  12.87    103     10  300.6  338.6  302.9
  850.0   1537   15.0   13.2     89  11.34     97      9  301.9  335.6  303.9
  836.0   1678   14.2   12.4     89  10.93     93      9  302.4  335.1  304.4
  815.0   1893   13.0    8.7     75   8.73     88      9  303.4  329.7  305.0
  782.0   2239   10.4    7.2     81   8.21     80      9  304.2  329.1  305.7
  763.5   2438    9.4    5.2     75   7.31     75      9  305.2  327.6  306.6
  759.0   2487    9.2    4.7     73   7.10     69     10  305.5  327.3  306.8
  751.0   2575    8.6    6.7     88   8.26     57     11  305.8  331.0  307.3
  742.0   2675    8.6    4.0     73   6.92     44     12  306.8  328.1  308.1
  735.9   2743    8.2    3.7     73   6.81     35     13  307.1  328.1  308.3
  700.0   3155    5.4    1.6     76   6.18     15     14  308.4  327.7  309.6
  678.0   3416    3.2    0.1     80   5.72      2     12  308.8  326.7  309.9
  664.0   3585    3.2   -0.5     77   5.59    354     11  310.6  328.3  311.7
  658.1   3658    2.9   -1.6     72   5.18    350     10  311.1  327.5  312.0
  647.0   3796    2.2   -3.8     65   4.49    356     11  311.8  326.2  312.7
  639.0   3896    1.4   -4.6     64   4.28    360     12  312.0  325.8  312.8
  638.0   3909    1.4   -7.6     51   3.40      0     12  312.2  323.2  312.8
  637.0   3921    1.4   -6.6     55   3.68      1     12  312.3  324.2  313.0
  634.0   3959    1.4  -10.6     40   2.70      2     12  312.7  321.7  313.2
  610.1   4267   -1.0  -13.9     37   2.16     15     15  313.4  320.7  313.8
  607.0   4308   -1.3  -14.3     37   2.09     16     14  313.5  320.6  313.9
  594.0   4481   -2.7  -14.7     39   2.07     19     11  313.9  320.8  314.2
  591.0   4521   -2.7  -10.7     54   2.88     19     10  314.3  323.8  314.9
  587.2   4572   -2.9   -9.2     62   3.26     20      9  314.7  325.4  315.3
  583.0   4629   -3.1   -7.5     72   3.75     18     10  315.1  327.4  315.8
  567.0   4850   -3.9   -8.9     68   3.46     11     13  316.6  328.1  317.3
  565.0   4877   -4.2   -9.3     67   3.36     10     13  316.7  327.8  317.3
  556.0   5004   -5.3  -11.3     63   2.91     14     18  316.8  326.5  317.3
  543.5   5182   -6.5  -12.0     65   2.82     20     24  317.4  326.8  317.9
  522.7   5486   -8.6  -13.1     70   2.67     35     19  318.4  327.4  318.9
  520.0   5527   -8.9  -13.3     70   2.65     34     19  318.5  327.5  319.1
  500.0   5830  -10.9  -15.9     67   2.23     25     15  319.7  327.3  320.1
  497.0   5876  -11.3  -16.3     67   2.17     26     14  319.8  327.2  320.2
  482.9   6096  -12.6  -17.9     65   1.96     30      8  320.8  327.6  321.2
  446.0   6700  -16.1  -22.1     60   1.47    350      4  323.8  329.0  324.0
  445.6   6706  -16.1  -22.1     60   1.46    350      4  323.8  329.0  324.1
  408.0   7364  -21.3  -26.0     66   1.13     10      7  325.4  329.5  325.6
  400.0   7510  -22.3  -27.2     64   1.03     15      8  325.9  329.7  326.1
  394.0   7620  -23.2  -28.1     64   0.96     25      8  326.2  329.8  326.4
  389.0   7714  -23.9  -28.9     63   0.91     30      8  326.4  329.8  326.6
  384.0   7808  -24.7  -29.2     66   0.89     35      8  326.6  329.9  326.8
  342.0   8637  -31.1  -36.0     62   0.52     81      5  328.9  330.9  329.0
  322.0   9060  -33.9  -41.9     44   0.30    105      4  330.7  331.9  330.8
  318.1   9144  -34.5  -42.5     44   0.28    110      4  331.0  332.1  331.0
  300.0   9550  -37.7  -45.7     43   0.21     65      7  332.1  333.0  332.2
  291.3   9754  -38.9  -46.9     43   0.19     85     10  333.3  334.1  333.3
  291.0   9761  -38.9  -46.9     43   0.19     85     10  333.3  334.1  333.4
  250.0  10790  -48.1  -58.1     30   0.06     85     17  334.4  334.7  334.4
  243.1  10973  -49.8  -59.8     30   0.05     85     17  334.6  334.8  334.6
  238.0  11112  -51.1  -61.1     29   0.04     89     18  334.6  334.8  334.6
  221.1  11582  -54.8  -64.0     31   0.03    105     22  336.0  336.2  336.0
  200.9  12192  -59.7  -67.7     34   0.02    105     18  337.7  337.8  337.7
  200.0  12220  -59.9  -67.9     34   0.02    100     20  337.8  337.9  337.8
  193.0  12441  -61.3  -69.3     34   0.02    136     14  339.0  339.1  339.0
  182.0  12802  -63.1  -71.2     33   0.01    195      5  341.7  341.8  341.7
  180.0  12870  -63.5  -71.5     33   0.01    206      7  342.2  342.3  342.2
  176.0  13008  -62.7  -70.7     33   0.02    229     11  345.7  345.8  345.7
  164.7  13411  -65.3  -73.3     32   0.01    295     22  347.9  347.9  347.9
  160.0  13589  -66.5  -74.5     32   0.01    310     14  348.8  348.9  348.8
  157.0  13703  -65.1  -73.1     32   0.01    310     13  353.1  353.2  353.1
  156.7  13716  -65.1  -73.1     32   0.01    310     13  353.2  353.3  353.2
  151.0  13940  -65.9  -73.9     32   0.01    259     17  355.7  355.8  355.7
  150.0  13980  -65.3  -73.3     32   0.01    250     18  357.4  357.5  357.4
  149.0  14021  -65.2  -73.2     32   0.01    255     20  358.2  358.3  358.2
  145.0  14187  -64.9  -72.9     32   0.01    247     21  361.6  361.6  361.6
  142.0  14315  -62.9  -71.9     29   0.02    241     21  367.2  367.3  367.2
  141.8  14326  -62.9  -71.9     29   0.02    240     21  367.4  367.4  367.4
  128.3  14935  -64.9  -73.9     28   0.01    260     22  374.4  374.5  374.4
  122.1  15240  -65.9  -74.9     27   0.01    255     22  378.0  378.1  378.0
  122.0  15244  -65.9  -74.9     27   0.01    255     22  378.0  378.1  378.0
  119.0  15396  -64.7  -73.7     28   0.01    250     26  382.9  383.0  382.9
  116.1  15545  -65.2  -74.2     28   0.01    245     30  384.8  384.9  384.8
  114.0  15658  -65.5  -74.5     28   0.01    244     28  386.2  386.2  386.2
  109.0  15932  -63.1  -73.1     25   0.02    243     23  395.7  395.8  395.7
  107.0  16046  -63.1  -73.1     25   0.02    242     21  397.8  397.9  397.8
  103.0  16280  -65.1  -74.1     28   0.02    241     17  398.3  398.4  398.3
  100.0  16460  -65.3  -74.3     28   0.02    240     14  401.3  401.4  401.3
   88.2  17219  -68.3  -77.3     26   0.01    236     24  409.9  410.0  409.9
   86.3  17350  -66.7  -76.7     23   0.01    235     26  415.7  415.8  415.7
   86.0  17374  -66.7  -76.7     23   0.01    235     26  416.2  416.3  416.2
   78.4  17931  -66.5  -76.5     23   0.01    294     16  427.7  427.8  427.7
   77.7  17983  -66.8  -76.7     24   0.01    300     15  428.1  428.2  428.1
   73.9  18288  -68.7  -78.1     25   0.01    275      5  430.4  430.5  430.4
   70.7  18551  -70.3  -79.3     26   0.01    245     14  432.4  432.5  432.4
   70.2  18593  -69.7  -78.7     26   0.01    240     16  434.5  434.6  434.5
   70.0  18610  -69.5  -78.5     26   0.01    235     15  435.4  435.4  435.4
   68.3  18757  -67.9  -77.9     23   0.01    245     13  441.9  442.0  441.9
   67.1  18864  -65.1  -75.1     24   0.02    253     11  450.2  450.3  450.2
   66.7  18898  -64.9  -75.0     23   0.02    255     11  451.4  451.5  451.4
   64.7  19085  -63.7  -74.7     21   0.02    354     17  457.9  458.1  458.0
   63.5  19202  -63.6  -74.6     21   0.02     55     20  460.7  460.9  460.7
   62.8  19268  -63.5  -74.5     21   0.03     57     21  462.3  462.5  462.3
   60.4  19507  -65.2  -76.2     20   0.02     65     24  463.8  464.0  463.8
   58.5  19699  -66.5  -77.5     20   0.02     83     22  465.0  465.1  465.0
   55.2  20052  -62.7  -74.7     18   0.03    116     17  481.5  481.7  481.5
   52.5  20360  -63.3  -75.3     18   0.03    144     14  487.1  487.2  487.1
   52.0  20422  -62.8  -75.2     17   0.03    150     13  489.6  489.8  489.6
   50.0  20660  -60.9  -74.9     14   0.03    165      7  499.5  499.8  499.6
   47.1  21031  -59.0  -74.7     11   0.03      0      0  512.6  512.9  512.6
